No,Item,Brand,Quantity,Latest Cost,Average Cost,Sale Price
688,6008 2RS E,HS,171,166.17,166.17,520
689,6008 2RS E,SILVER,496,295,295,520
690,6008 ZZ,SILVER,300,308,308,560
691,6009 2RS,CHINA,,310,310,
692,6009 2RS E,HS,1,215,215,660
693,6009 2RS E,SILVER,494,382,382,660
694,6009 ZZ,SILVER,300,395,395,690
695,6010 2RS,CHINA,12,420,420,
696,6010 2RS,HS,5,243.44,243.4,860
697,6010 2RS E,SILVER,500,432,432,860
698,6010 ZZ,SILVER,200,445,445,910
699,6011 2RS,CHINA,,525,525,
700,6011 2RS E,SILVER,168,570,570,980
701,6011 ZZ,SILVER,95,583,583,"1,020"
702,6012 2RS,CHINA,,750,744,
703,6012 2RS E,SILVER,200,646,646,"1,150"
704,6012 ZZ,SILVER,200,659,659,"1,180"
705,6013 2RS,CHINA,,445,445,
706,6013 2RS E,HS,8,379,379,"1,290"
707,6013 2RS E,SILVER,300,753,753,"1,290"
708,6013 ZZ,SILVER,150,766,766,"1,360"
709,6014 2RS E,HS,68,507,507,"1,650"
710,6014 2RS E,SILVER,150,915,915,"1,650"
711,6014 ZZ,SILVER,96,929,929,"1,720"
712,6015,CHINA,,1350,1350,
713,6015 2RS,CHINA,-4,1350,1350,
714,6015 2RS,UT,3,650,650,
715,6015 ZZ,ZWZ,-2,,,
716,6017 2RS E,SILVER,50,1608,1608,"2,475"
717,6017 ZZ,SILVER,50,1621,1621,"2,540"
718,6018 2RS E,SILVER,46,2035,2035,"3,190"
719,6018 ZZ,SILVER,30,2048,2048,"3,240"
720,6019 2RS E,SILVER,26,2391,2391,"3,750"
721,6019 ZZ,SILVER,20,2404,2404,"3,840"
722,6020 2RS E,SILVER,48,2646,2646,"4,260"
723,6040 ZZ,KOYO,,17500,17500,
724,606 2RS,CHINA,,32,32,
725,607 2RS,CHINA,-4,28,28,
726,608 2RS,CHINA,,28,28,
727,608 2RS,FODA,271,18.9,18.9,
728,608 ZZ,NMB,1112,35,35,
729,609 ZZ,CHINA,12,10,10,
730,6200 2RS,CHINA,1,47,47,
731,6200 2RS,SILL,820,41.39,41.39,
732,6200 2RS,VETOR,5340,51.5,51.5,
733,62001 2RS,CHINA,-15,,,
734,6201 2RS,CHINA,71,43.59,43.59,
735,6201 2RS,MAX,,150,150,
736,6201 2RS,SILL,-20,45.1,45.1,
737,6201 2RS,VETOR,4990,51.5,51.5,
738,6202 2RS,CHINA,145,60,59.8,
739,6202 2RS,MAX,,155,155,
740,6202 2RS,SILL,3,50.81,51,
741,6202 2RS,USED,530,32,32,
742,6202 2RS,VETOR,7734,57.2,57.2,
743,6202 2RS 14MM,VETOR,3000,88.7,88.7,
744,6202 ZZ,MAX,,120,120,
745,6203 2RS,CHINA,26,75,70.58,
746,6203 2RS,MAX,,190,190,
747,6203 2RS,SILL,63,62.54,62.54,
748,6203 2RS,VETOR,8744,71.5,71.5,
749,6203 2RS 16MM,VETOR,3000,100.1,100.1,
750,6203 ZZ,CHINA,1,85,87,
751,6204,FAG,,400,400,
752,6204 2RS,CHINA,,120,120,
753,6204 2RS,MAX,,260,260,
754,6204 2RS,SILL,4,91.29,91.25,
755,6204 2RS,VETOR,1301,103,103,
756,6204 2RS E,HS,511,89.51,89.51,235
757,6204 ZZ,CHINA,,240,240,
758,6205 2RS,CHINA,,130,130,
759,6205 2RS,MAX,,310,310,
760,6205 2RS,NTN,1,483,483,
761,6205 2RS,SILL,155,107.05,107.06,
762,6205 2RS,TNVB,526,136,139.7,
763,6205 2RS,VETOR,3162,120.2,120.2,
764,6205 2RS E,SILVER,1796,191,191,285
765,6205 NR,NACHI,1,275,275,
766,6205 ZZ,MAX,,260,260,
767,6205 ZZ,NTN,,800,800,
768,6205 ZZ,SILVER,1596,204,204,295
769,6206 2RS,B.MAX,,480,480,
770,6206 2RS,TNVB,445,185,173.07,
771,6206 2RS,VETOR,4880,165.9,165.9,
772,6206 2RS E,HS,387,122.18,122.18,415
773,6206 2RS E,SILVER,932,285,285,415
774,6206 ZZ,MAX,,410,410,
775,6206 ZZ,SILVER,840,298,298,430
776,6207,HI-TEC,1,140,140,
777,6207 2RS,B.MAX,,720,720,
778,6207 2RS,CHINA,-30,330,324.9,
779,6207 2RS,FA GOLD,30,400,400,
780,6207 2RS,FAG,,1150,1150,
781,6207 2RS,ZTC,-10,250,250,
782,6207 2RS E,SILVER,1377,382,382,650
783,6207 ZZ,SILVER,1988,395,395,680
784,6208 2RS,B.MAX,,740,740,
785,6208 2RS,CHINA,,330,330,
786,6208 2RS,HI-TEC,83,189,189,
787,6208 2RS,TNVB,50,342,342,
788,6208 2RS E,HS,550,256,256,740
789,6208 2RS E,SILVER,696,473,473,740
790,6208 ZNR,HS,69,260,260,850
791,6208 ZZ,SILVER,572,486,486,760
792,6209 2RS,CHINA,18,380,425.39,
793,6209 2RS,FA GOLD,,600,600,
794,6209 2RS,HI-TEC,2,305,305,
795,6209 2RS,HS,2,239,239,890
796,6209 2RS,TFC,611,440,439.83,
797,6209 2RS,TNVB,57,330.67,330.67,
798,6209 2RS,ZWZ,,1150,1150,
799,6209 2RS E,SILVER,640,559,559,890
800,6209 ZZ,SILVER,641,573,573,880
801,6210 2RS,B.MAX,,950,950,
802,6210 2RS,CHINA,25,510,510,
803,6210 2RS,SBN,11,390,390,
804,6210 2RS,TNVB,9,478,440.22,
805,6210 2RS,ZWZ,,1450,1450,
806,6210 2RS E,HS,1,362,362,960
807,6210 2RS E,SILVER,629,636,636,960
808,6210 ZNR,HS,75,362,362,"1,050"
809,6211,CHINA,225,450,525.78,
810,6211 2RS,BSA,60,650,650,
811,6211 2RS,CHINA,,455.25,455.33,
812,6211 2RS,HS,148,391,391,"1,180"
813,6211 2RS,S.MAX,-6,,,
814,6211 2RS,TFC,1,380,380,
815,6211 2RS E,HS,152,481,481,"1,180"
816,6211 2RS E,SILVER,196,819,819,"1,180"
817,6211 ZZ,SILVER,171,832,832,"1,220"
818,6212 2RS,MAX,,1530,1530,
819,6212 2RS,ZTC,1,690,690,
820,6212 2RS E,SILVER,146,1007,1007,"1,480"
821,6212 ZNR,HS,24,509,509,"1,625"
822,6212 ZZ,SILVER,127,1021,1021,"1,520"
823,6213 2RS,CHINA,13,830,830,
824,6213 2RS,ZTC,30,780,780,
825,6213 2RS E,SILVER,203,1323,1323,"1,910"
826,6213 ZZ,MAX,,1780,1780,
827,6214 2RS,TNVB,59,925,925,
828,6214 2RS E,HS,39,729,729,"2,175"
829,6214 ZZ,MAX,,2050,2050,
830,6214 ZZ,NTN,,2800,2800,
831,6215,CHINA,-17,1100,1100,
832,6215,MAX,,2000,2000,
833,6215,TFC,17,1100,1100,
834,6215 2RS,CHINA,,1250,1250,
835,6215 2RS,TNVB,,925,925,
836,6215 2RS E,SILVER,282,1689,1689,"2,360"
837,6215 ZZ,FAG,-4,,,
838,6215 ZZ,SILVER,339,1702,1702,"2,420"
839,6215 ZZ,SKF,-1,,,
840,6216 2RS,CHINA,,1450,1450,
841,6216 2RS E,SILVER,174,1783,1783,"2,710"
842,6217,CHINA,-2,1800,1800,
843,6217,SBR,,1600,1600,
844,6217,TNVB,4,1250,1250,
845,6217 2RS,CHINA,,2000,2000,
846,6217 2RS,HI-TEC,,1100,1100,
847,6217 2RS,HS,,1150,1150,"2,950"
848,6217 2RS E,SILVER,212,2234,2234,"2,950"
849,6217 E,CHINA,,1150,1150,
850,6217 ZZ,CHINA,,2000,2000,
851,6217 ZZ,SILVER,300,2247,2247,"3,050"
852,6218 2RS,CHINA,,2200,2200,
853,6218 2RS E,SILVER,237,2488,2488,"3,620"
854,6218 ZZ,SILVER,686,2501,2501,"3,750"
855,6219 2RS E,HS,,1597,1597,"4,150"
856,6219 2RS E,SILVER,50,3007,3007,"4,150"
857,6220 2RS E,SILVER,236,3017,3017,"4,400"
858,6220 ZZ,SILVER,238,3030,3030,"4,460"
859,62201 2RS,HI-TEC,,90.97,90.92,
860,62202 2RS,HI-TEC,40,118.82,118.82,
861,62203 2RS,HI-TEC,26,124.9,124.88,
862,62204 2RS,HI-TEC,24,180.56,180.54,
863,62205 2RS,HI-TEC,1,197,197,
864,62206 2RS,HI-TEC,13,239.95,239.92,
865,62207 2RS,HI-TEC,14,348,348,
866,62209 2RS,HI-TEC,8,479.62,479.62,
867,62210 2RS,HI-TEC,12,443.88,443.83,
868,6222 ZZ,SILVER,15,4679,4679,"6,750"
869,6224,SILVER,19,5662,5662,"7,500"
870,6224 ZZ,SILVER,16,5676,5676,"8,100"
871,6226,HS,1,3299,3299,"8,150"
872,6228,HS,8,4949,4949,"9,600"
873,6228 2RS,S.MAX,1,5000,5000,
874,623 ZZ,CHINA,470,22,22,
875,6230,HS,3,6062,6062,"10,600"
876,62303 2RS,HI-TEC,7,245,245,
877,62304 2RS,CHINA,,450,,
878,62305 2RS,HI-TEC,,310.5,310.5,
879,62306 2RS,WGD,,1150,1150,
880,62307 2RS,HI-TEC,11,566.6,566.64,
881,62308 2RS,HI-TEC,,880.29,880.33,
882,62309 2RS,HI-TEC,1,977,977,
883,62310 2RS,HI-TEC,,947,947,
884,625,CHINA,,35,35,
885,626,CHINA,-196,34,34.25,
886,627,CHINA,445,18.23,18.23,
887,628,CHINA,,45,45,
888,628 2RS,CHINA,,50,50,
889,629 2RS,HLD,10,22,22,
890,63/28,CHINA,,285,285,
891,6300 2RS,CHINA,25,61.88,61.88,
892,6300 2RS,SILL,20,55.33,55.35,
893,6300 2RS,VETOR,8355,62.9,62.9,
894,63005 2RS,HI-TEC,1,169.5,169,
895,6301 2RS,CHINA,243,63,63,
896,6301 2RS,MAX,,165,165,
897,6301 2RS,SILL,976,59.94,59.94,
898,6301 2RS,VETOR,6617,68.7,68.7,
899,6302 2RS,CHINA,10,88,88,
900,6302 2RS,SILL,30,72.77,72.77,
901,6302 2RS,VETOR,2562,83,88.93,
902,6302 LLU,KYK,1,300,300,
903,6303 2RS,MAX,,320,320,
904,6303 2RS,SILL,1207,103.34,103.34,
905,6303 2RS,VETOR,2384,128.7,128.7,
906,6303 2RS C3,CMB,3,90,90,
907,6304 2RS,CHINA,1,160,160,
908,6304 2RS,SILL,228,124.18,124.18,
909,6304 2RS,VETOR,3051,143.1,143.1,
910,6304 ZZ,NTN,148,450,450,
911,6305 2RS,HI-TEC,1,138,138,
912,6305 2RS,SILL,-10,160.42,160.4,
913,6305 2RS,TNVB,198,212,212,
914,6305 2RS,VETOR,105,171.7,171.7,
915,6305 2RS C3,CMB,1,140,140,
916,6305 2RS E,HS,2676,133.41,133.41,550
917,6305 ZZ C3,CMB,1,140,140,
918,6306 2RS,CHINA,29,360,357.93,
919,6306 2RS,HI-TEC,2,201,201,
920,6306 2RS,MAX,,780,780,
921,6306 2RS,TNVB,294,323,323,
922,6306 2RS E,SILVER,986,442,442,720
923,6306 ZNR,CHINA,,450,450,
924,6306 ZZ,NTN,,1200,1200,
925,6306 ZZ,SILVER,410,456,456,740
926,6307 2RS,CHINA,-5,490,492.6,
927,6307 2RS,HS,,259,259,860
928,6307 2RS,NTN,,1400,1400,
929,6307 2RS,TNVB,89,435,429.62,
930,6307 2RS E,SILVER,1,539,539,860
931,6307 ZNR,CHINA,,625,625,
932,6307 ZNR,KOYO,19,1100,1100,
933,6307 ZZ,SILVER,250,552,552,880
934,6308 2RS,CHINA,,650,675,
935,6308 2RS,HI-TEC,1,440,440,
936,6308 2RS,TFC,,680,680,
937,6308 2RS,TNVB,89,620,617.8,
938,6308 2RS E,HS,17,408.97,408.94,"1,250"
939,6308 2RS E,SILVER,654,730,730,"1,250"
940,6308 LLU,NTN,,2100,2100,
941,6308 ZNR,HS,55,416,416,"1,300"
942,6308 ZZ,CHINA,,650,650,
943,6308 ZZ,NTN,,2100,2100,
944,6308 ZZ,SILVER,673,743,743,"1,290"
945,6308 ZZ C3,CMB,,400,400,
946,6309,CHINA,,600,600,
947,6309,TFC,,820,820,
948,6309 2RS,CHINA,-17,800,803.24,
949,6309 2RS,F & D,,700,700,
950,6309 2RS,HI-TEC,1,555,555,
951,6309 2RS,HS L,,800,800,
952,6309 2RS,TNVB,19,748,721.26,
953,6309 2RS E,HS,,481,481,"1,525"
954,6309 2RS E,SILVER,288,742,742,"1,525"
955,6310 2RS,CHINA,1,1050,1026,
956,6310 2RS,TFC,7,950,946.43,
957,6310 2RS,TNVB,137,926,925.07,
958,6310 2RS E,SILVER,209,1231,1231,"1,860"
959,6310 ZZ,MAX,,2000,2000,
960,6310 ZZ,NTN,,3700,3700,
961,6310 ZZ,SILVER,191,1244,1244,"1,910"
962,6311,TFC,,530,530,
963,6311 2RS,CHINA,-10,1250,1250,
964,6311 2RS,TFC,-1,1330,1396,
965,6311 2RS E,SILVER,40,1501,1501,"2,290"
966,6311 ZZ,NIN,12,1250,1250,
967,6311 ZZ,SILVER,125,1514,1514,"2,340"
968,6312,TNVB,141,1510,1497.02,
969,6312 2RS,CHINA,,1600,1600,
970,6312 2RS,TFC,46,1700,1191.3,
971,6312 2RS,TNVB,20,1530,1457.4,
972,6312 2RS E,HS,,934,934,"2,450"
973,6312 ZZ,CHINA,,1700,1700,
974,6312 ZZ,LYC,5,2800,2800,
975,6313 2RS,CHINA,,1800,1800,
976,6313 2RS,NIN,8,1900,1900,
977,6313 2RS,TNVB,,1520,1520,
978,6313 2RS E,SILVER,136,2254,2254,"3,420"
979,6313 ZZ,SILVER,87,2267,2267,"3,580"
980,6314,HI-TEC,3,1487.44,1487.33,
981,6314,SB-1,,1900,1872.67,
982,6314,TNVB,,1540,1540,
983,6314 2RS,CHINA,10,1900,1900,
984,6314 2RS,TFC,1,1280,1280,
985,6314 2RS,TNVB,1,1662.53,1663,
986,6314 2RS E,SILVER,45,2646,2646,"4,120"
987,6314 ZZ,SILVER,229,2659,2659,"4,250"
988,6315,CHINA,,2600,2600,
989,6315,TNVB,,1895,1895,
990,6315 2RS,HS,3,1337,1337,"4,400"
991,6316,CSC,1,2300,2300,
992,6316,ZWZ,,5472,5472,
993,6316 ZZ,SILVER,,3514,3514,"4,850"
994,6317,NSK,,13500,13500,
995,6317 ZZ,NTN,,20000,,
996,6320 2RS E,HS,13,4103,4103,"10,650"
997,6320 ZZ,SILVER,28,7353,7353,"10,650"
998,6321 2RS E,HS,2,5567,5567,"12,500"
999,6324,CSC,,5400,5400,
1000,6324,HS,,8454,8454,"15,500"
1001,6328,HS,3,14434,14434,"24,500"
1002,636,CHINA,,60,60,
1003,6404 2RS,HI-TEC,301,323.05,323.05,
1004,6404 E,HS,1,269,269,
1005,6404 ZZ,CMB,4,400,400,
1006,6405,HI-TEC,11,275,275,
1007,6405,NTN,,3500,,
1008,6405 2RS,HI-TEC,178,313,313,
1009,6405 E,HS,104,281,281,
1010,6406,HI-TEC,-7,327.5,327.57,
1011,6406 2RS,HI-TEC,6,353.67,353.67,
1012,6407,HI-TEC,18,489.58,489.61,
1013,6407,HS,47,446,446,
1014,6407,JAPAN,-1,3900,3857,
1015,6407 2RS,HI-TEC,85,455,455,
1016,6408,HI-TEC,13,657.62,657.62,
1017,6408 2RS,HI-TEC,5,737.89,738,
1018,6409,HI-TEC,11,869.58,869.55,
1019,6409,LYC,19,2200,2200,
1020,6409,NTN,,5000,5000,
1021,6409,TFC,-6,1300,1300,
1022,6409 E,HS,1,700,700,
1023,6410,CSC,1,925,925,
1024,6410,HI-TEC,4,826.8,826.75,
1025,6410,HS,32,1037,1037,
1026,6410 2RS,HI-TEC,25,756.35,756.36,
1027,6412,LYC,,5500,5500,
1028,6412 2RS,HI-TEC,1,1498,1498,
1029,6413 2RS,HI-TEC,,2202,2202,
1030,67048/10,BMX,,112,111.58,
1031,67048/10,HI-TEC,951,260,259.89,
1032,67512,CHINA,-6,,,
1033,6800 2RS,VETOR,3000,57.2,57.2,
1034,6806 2RS,NTN,,1050,1050,
1035,6812 2RS,CHINA,-2,,,
1036,68149/10,BSL,1,98,98,
1037,68149/10,CHINA,,300,300,
1038,684 ZZ,CHINA,,100,100,
1039,689 ZZ,CHINA,,40,40,
1040,6901 2RS,CHINA,,45,45,
1041,6901 2RS,VETOR,2916,60.1,60.1,
1042,6901 ZZ,CMB,1,28,28,
1043,6903 2RS,CHINA,,80,80,
1044,6904 2RS,CHINA,,100,100,
1045,6905 2RS,CHINA,,100,100,
1046,6906 2RS,CHINA,,180,180,
1047,6906 2RS,HI-TEC,1,90,90,
1048,6907 2RS,CHINA,,190,190,
1049,6907 2RS,HI-TEC,1,170,170,
1050,6908 2RS,CHINA,,230,230,
1051,6909 2RS,CHINA,,320,320,
1052,6909 2RS,HI-TEC,1,200,200,
1053,6910 2RS,CHINA,,370,370,
1054,6911 2RS,CHINA,2,580,566.5,
1055,693 2RS,CHINA,,35,35,
1056,696,CHINA,,40,40,
1057,7204 B ECP,HI-TEC,22,286,286,
1058,7205 B ECP,HI-TEC,,357,357,
1059,7208 B ECP,HI-TEC,-1,368,368,
1060,7209 B ECP,HI-TEC,6,409,409,
1061,7210 B ECP,HI-TEC,2,753,753,
1062,7211 B ECP,HI-TEC,14,829,829,
1063,7212 B ECP,HI-TEC,16,1044,1044,
1064,7213 B ECP,HI-TEC,16,1413,1413,
1065,7305 ECP,HI-TEC,3,213,213,
1066,7306 ECP,HI-TEC,1,298,298,
1067,7307,NSK,,3200,3200,
1068,7311 B,NSK,2,6000,6000,
1069,7311 B ECP,HI-TEC,16,1429,1429,
1070,7312 B,FAG,,7000,7000,
1071,7312 B,NSK,,6000,6000,
1072,7312 B ECP,HI-TEC,7,1787,1787,
1073,7314 B,NSK,4,7500,7500,
1074,7316 B,CSC,2,2800,2800,
1075,7718,CHINA,3,3500,3500,
1076,7815,CHINA,,2000,2000,
1077,88501 2RS,HI-TEC,89,220,220,
1078,903249/10,HI-TEC,645,965,965,
1079,AEL 205,CHINA,1,230,230,
1080,AEL 206,HI-TEC,97,506,506,
1081,AEL 207,HI-TEC,50,661,661,
1082,AEL 208,HI-TEC,26,748,748,
1083,AEL 210,HI-TEC,20,978,978,
1084,AH 2313,CHINA,-1,661,661,
1085,AHX 2313,HI-TEC,22,561,561,
1086,AHX 2320,HI-TEC,2,768,768,
1087,AHX 3120,HI-TEC,14,639,639,
1088,AHX 3122,HI-TEC,10,1516,1516,
1089,AHX 315,HI-TEC,7,274,274,
1090,AHX 317,HI-TEC,18,607,607,
1091,AHX 3222,HI-TEC,16,1614.53,1614.5,
1092,B 108,CHINA,160,60,60,
1093,B 1212,CHINA,-50,100,100,
1094,B 1313,CHINA,100,100,100,
1095,B 228,CHINA,,140,140,
1096,BK 1622 OH,HI-TEC,,76,76,
1097,BK 2020 OH,HI-TEC,,85,85,
1098,C 06,KOYO,,530,530,
1099,CF 10 VUUR,HI-TEC,25,167,167,725
1100,CF 12 VUUR,HI-TEC,30,207,207,800
1101,CF 12-1 VUUR,HI-TEC,,207,207,850
1102,CF 16 VUUR,HI-TEC,20,320,320,"1,120"
1103,CF 18 VUUR,HI-TEC,,443,443,"1,420"
1104,CF 20 VUUR,HI-TEC,10,136,136,"1,620"
1105,CF 6 VUUR,HI-TEC,30,108,108,525
1106,CF 8 VUUR,HI-TEC,6,132,132,620
1107,CSA 207 2RS,HI-TEC,60,953,953,
1108,CSB 207,LDK,7,400,400,
1109,CSK 15 PP,UT,-1,430,430,
1110,CT 1310,CHINA,-5,850,850,
1111,DAC 306037,CHINA,-24,,800,
1112,F 204,FAG,519,400,400,
1113,F 204,HI-TEC,1011,342,342,350
1114,F 205,CHINA,2,300,300,
1115,F 205,FAG,489,500,500,
1116,F 205,HI-TEC,1025,392,391.38,425
1117,F 205,HJC,109,220,220,
1118,F 206,HI-TEC,490,556,556,570
1119,F 206,HJC,72,290,290,
1120,F 206,OJM,,500,500,
1121,F 207,FAG,,,850,
1122,F 207,HI-TEC,970,641,641,650
1123,F 207,INA,5,900,900,
1124,F 207,LOCAL,,570,570,
1125,F 208,FAG,167,800,800,
1126,F 208,HI-TEC,1527,798,700.17,800
1127,F 208,HJC,56,449.75,449.75,
1128,F 208,SKTC,87,500,500,
1129,F 209,HI-TEC,403,905,901.79,920
1130,F 209,HJC,68,460,457.93,
1131,F 209,SKTC,48,600,600,
1132,F 210,FKD,1,550,550,
1133,F 210,HI-TEC,494,1011,1010.17,"1,050"
1134,F 210,HJC,54,530,530,
1135,F 211,HI-TEC,252,1411,1163.06,"1,425"
1136,F 211,HJC,,680,680,
1137,F 211,LOCAL,30,850,850,
1138,F 211,SKTC,,900,900,
1139,F 212,HI-TEC,9,1603,1603,"1,700"
1140,F 212,HJC,31,850,850,
1141,F 212,SKTC,36,1100,1100,
1142,F 213,HI-TEC,139,1994,1994,"2,100"
1143,F 213,HJC,21,980,980,
1144,F 213,SKTC,18,1150,1150,
1145,F 214,FKD,2,1050,1050,
1146,F 214,HI-TEC,45,2208,2208,"2,350"
1147,F 214,HJC,63,1100,1082.87,
1148,F 214,SKTC,12,1250,1250,
1149,F 215,CHINA,,2500,2500,
1150,F 215,HI-TEC,17,2493,2493,"2,800"
1151,F 216,HI-TEC,25,2849,2849,"3,500"
1152,F 218,CHINA,8,4800,4800,
1153,F 307,FK,,1850,1850,
1154,FC 206,HI-TEC,78,641,641,750
1155,FC 207,HI-TEC,170,784,784,860
1156,FC 208,HI-TEC,89,1068,1068,"1,250"
1157,FC 209,HI-TEC,50,1211,1123.22,"1,475"
1158,FC 210,HI-TEC,223,1425,1405.7,"1,750"
1159,FC 210,HJC,58,900,900,
1160,FC 211,FAG,7,1500,1500,
1161,FC 211,HI-TEC,41,1923,1923,"2,150"
1162,FC 212,HI-TEC,57,2137,2137,"2,400"
1163,FC 213,HI-TEC,11,2636,2636,"3,050"
1164,FC 214,HI-TEC,,1493,1493,
1165,FD 205,FK,,750,750,
1166,FL 204,HI-TEC,950,321,321,340
1167,FL 204,HJC,101,180,180,
1168,FL 205,CHINA,10,350,350,
1169,FL 205,HI-TEC,886,342,341.67,370
1170,FL 205,HJC,538,200,200,
1171,FL 206,HI-TEC,619,250,442.22,485
1172,FL 206,HJC,269,250.47,250.47,
1173,FL 207,FKD,1,650,650,
1174,FL 207,HI-TEC,1,283,283,
1175,FL 207,HJC,150,307.76,307.75,
1176,FL 208,HI-TEC,177,677,666.64,700
1177,FL 208,HJC,50,410,410,
1178,FL 209,HI-TEC,35,748,748,800
1179,FL 210,FK,,1000,1000,
1180,FL 210,FKD,,1200,1200,
1181,FL 211,FAG,6,1000,1000,
1182,FL 212,FAG,12,1200,1200,
1183,FPS 14,CHINA,,600,600,
1184,FS 307,CHINA,,5000,5000,
1185,FT 2515,HI-TEC,,148,148,
1186,FT 3525,HI-TEC,,191,191,
1187,GE 10 2RS,HI-TEC,50,212,212,380
1188,GE 12 2RS,HI-TEC,50,233,233,425
1189,GE 15 2RS,HI-TEC,50,233,233,450
1190,GE 20 2RS,HI-TEC,100,254,254,480
1191,GE 25 2RS,HI-TEC,14,275,275,560
1192,GE 30 2RS,HI-TEC,20,288,288,610
1193,GE 40 2RS,HI-TEC,,425,425,
1194,GE 50 2RS,HI-TEC,,636,636,
1195,GE 60-ES 2RS,TMB,,,12000,
1196,GEG 20 2RS,CMB,,1000,1000,
1197,GREESE,VEGA,,5200,5200,
1198,H 205,CHINA,4,248.75,248.75,
1199,H 205,NTN,239,268.4,268.4,
1200,H 205,SKF,16,225,225,
1201,H 206,HI-TEC,38,188,188,
1202,H 206,SKF,10,225,225,
1203,H 207,HI-TEC,112,203.85,203.85,
1204,H 207,SKF,108,225,225,
1205,H 208,HI-TEC,163,193.66,193.66,
1206,H 208,SKF,1,225,225,
1207,H 209,HI-TEC,1,242,242,
1208,H 209,LOCAL,,350,350,
1209,H 210,HI-TEC,1,268.55,269,
1210,H 210,SKF,12,225,225,
1211,H 211,HI-TEC,-10,,,
1212,H 212,CHINA,3,527.33,527.33,
1213,H 212,HI-TEC,2,591.92,592,
1214,H 213,HI-TEC,1,276.27,276,
1215,H 214,HI-TEC,23,528.52,528.52,
1216,H 215,HI-TEC,60,512.19,512.18,
1217,H 216,HI-TEC,54,718.5,718.5,
1218,H 217,HI-TEC,1,926.73,927,
1219,H 218,HI-TEC,1,1110,1110,
1220,H 221,CHINA,1,2200,2200,
1221,H 2305,HI-TEC,133,161,161,
1222,H 2306,HI-TEC,5,133,133,
1223,H 2307,HI-TEC,,325,325,
1224,H 2308,CHINA,1,450,450,
1225,H 2308,HI-TEC,110,272.51,272.51,
1226,H 2308,SKF,4,225,225,
1227,H 2309,HI-TEC,1,301.63,302,
1228,H 2310,CHINA,24,750,750,
1229,H 2310,CMB,,350,350,
1230,H 2310,HI-TEC,,330,330,
1231,H 2311,CHINA,1,612,612,
1232,H 2311,HI-TEC,5,391,391,
1233,H 2311,LOCAL,,480,480,
1234,H 2312,LOCAL,,750,750,
1235,H 2313,HI-TEC,9,500.88,500.89,
1236,H 2315,CHINA,,1425,1425,
1237,H 2315,HI-TEC,2,897,897,
1238,H 2317,HI-TEC,16,1085.5,1085.5,
1239,H 2318,WGD,1,3000,3000,
1240,H 2320,CHINA,1,4440,4440,
1241,H 2320,HI-TEC,2,1850,1850,
1242,H 306,SKF,1,225,225,
1243,H 307,HI-TEC,6,216,216,
1244,H 308,CHINA,-9,550,732.44,
1245,H 308,HI-TEC,2,237,237,
1246,H 309,HI-TEC,8,268,268,
1247,H 309,LOCAL,,475,475,
1248,H 309,SKF,,225,225,
1249,H 310,HI-TEC,,418,418,
1250,H 310,LOCAL,,600,600,
1251,H 311,HI-TEC,-1,323,323,
1252,H 311,LOCAL,,620,620,
1253,H 312,HI-TEC,51,368.13,368.14,
1254,H 313,CHINA,6,900,883.33,
1255,H 313,HI-TEC,-1,411,411,
1256,H 3136,CHINA,,22000,22000,
1257,H 314,CHINA,,1185,1185,
1258,H 314,HI-TEC,,402,402,
1259,H 315,HI-TEC,,742,742,
1260,H 315,LOCAL,-6,,,
1261,H 316,CHINA,16,1400,1381.81,
1262,H 317,HI-TEC,,892,892,
1263,H 317,LOCAL,,1150,1150,
1264,H 318,CHINA,,1700,1352.75,
1265,H 318,HI-TEC,-3,1137,1137,
1266,H 318,LOCAL,-10,,,
1267,H 320,HI-TEC,8,1361,1361,
1268,HE 205,NTN,454,272.86,272.86,
1269,HE 206,CHINA,5,222,222,
1270,HE 206,HI-TEC,344,204.65,204.65,
1271,HE 207,HI-TEC,3,136,136,
1272,HE 208,HI-TEC,81,246,246,
1273,HE 209,CHINA,,400,400,
1274,HE 209,HI-TEC,-9,268,268,
1275,HE 210,CHINA,20,337.25,337.25,
1276,HE 210,HI-TEC,37,302.16,302.16,
1277,HE 211,CHINA,,750,750,
1278,HE 211,HI-TEC,-4,,,
1279,HE 211,LOCAL,,370,370,
1280,HE 212,HI-TEC,10,241,241,
1281,HE 213,HI-TEC,2,388.92,389,
1282,HE 214,HI-TEC,2,401,401,
1283,HE 215,CMB,,550,550,
1284,HE 215,LOCAL,,790,790,
1285,HE 216,HI-TEC,45,635.67,635.67,
1286,HE 217,HI-TEC,20,866,866,
1287,HE 2310,HI-TEC,9,600,600,
1288,HE 2311,CHINA,,1020,1020,
1289,HE 2311,HI-TEC,16,477,477,
1290,HE 2313,LOCAL,,750,750,
1291,HE 2315,LOCAL,,1250,1250,
1292,HE 308,HI-TEC,1,250,250,
1293,HE 308,LOCAL,,470,470,
1294,HE 309,HI-TEC,-1,,,
1295,HE 309,LOCAL,,475,475,
1296,HE 310,LOCAL,,600,600,
1297,HE 311,HI-TEC,15,356,356,
1298,HE 313,HI-TEC,70,413.86,413.86,
1299,HE 315,LOCAL,-6,,,
1300,HE 317,LOCAL,,1150,1150,
1301,HK 0810,WGD,,60,60,
1302,HK 1012,CHINA,,250,,
1303,HK 1210,CHINA,,40,40,
